Phenotype,MeSH Heading/Name of Substance,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Notes,Heading Mapped to
TEMTAMY PREAXIAL BRACHYDACTYLY SYNDROME,Temtamy preaxial brachydactyly syndrome,C07.650.800,C07.793.700,C16.131.850.800,C09.218.458.341.186,C10.597.751.418.341.186,C23.888.592.763.393.341.186,C07.465.525,C07.650.525,C16.131.850.525,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C05.660.585.262,C16.131.621.585.262,,,,,,,"Mental retardation syndrome with preaxial brachydactyly, hyperphalangism, deafness and orodental anomalies",*Tooth Abnormalities;*Deafness;*Mouth Abnormalities;*Intellectual Disability;*Brachydactyly
"NEUROPATHY, HEREDITARY MOTOR AND SENSORY, RUSSE TYPE","Neuropathy, hereditary motor and sensory, Russe type",C10.500.300,C10.574.500.495,C10.668.829.800.300,C16.131.666.300,C16.320.400.375,,,,,,,,,,,,,,,,,,*Hereditary Sensory and Motor Neuropathy
SPLIT-HAND/FOOT MALFORMATION 4,,,,,,,,,,,,,,,,,,,,,,,,
MACROCEPHALY/AUTISM SYNDROME,,,,,,,,,,,,,,,,,,,,,,,,
NEMALINE MYOPATHY 5,Nemaline myopathy 5,C05.651.575.290,C10.668.491.550.290,,,,,,,,,,,,,,,,,,,,,"*Myopathies, Nemaline"
SPINOCEREBELLAR ATAXIA 14,Spinocerebellar ataxia 14,C10.228.140.252.190.530,C10.228.140.252.700.700,C10.228.854.787.875,C10.574.500.825.700,C10.597.350.090.500.530,C16.320.400.780.875,,,,,,,,,,,,,,,,"A hereditary autosomal dominant spinocerebellar ataxia with a mean age of onset of 31 years. It is characterized primarily by GAIT ATAXIA; cerebellar DYSARTHRIA, slowed SACCADES, ocular dysmetria, and HYPERREFLEXIA. Mutations in the  PRKCG gene have been identified. OMIM: 605361",*Spinocerebellar Ataxias
PARAGANGLIOMAS 3,Paragangliomas 3,C04.557.465.625.650.700,C04.557.580.625.650.700,C04.700,C16.320.700,,,,,,,,,,,,,,,,,,mutation in SDHC,"*Paraganglioma;*Neoplastic Syndromes, Hereditary"
"HETEROTAXY, VISCERAL, 2, AUTOSOMAL",,,,,,,,,,,,,,,,,,,,,,,,
"CATARACT 31, MULTIPLE TYPES",,,,,,,,,,,,,,,,,,,,,,,,
HYPOTRICHOSIS 1,,,,,,,,,,,,,,,,,,,,,,,,
"SEGAWA SYNDROME, AUTOSOMAL RECESSIVE","Segawa syndrome, autosomal recessive",C10.228.662.300,,,,,,,,,,,,,,,,,,,,,,Dystonic Disorders/*congenital
RADIOULNAR SYNOSTOSIS WITH AMEGAKARYOCYTIC THROMBOCYTOPENIA,Radioulnar Synostosis with Amegakaryocytic Thrombocytopenia,A02.835.232.087.090.700,C05.116.099.370.894,C05.660.906,C16.131.621.906,A02.835.232.087.090.850,C15.378.140.855,,,,,,,,,,,,,,,,,Radius/*abnormalities;*Synostosis;Ulna/*abnormalities;Thrombocytopenia/*congenital
"PARKINSON DISEASE 4, AUTOSOMAL DOMINANT",,,,,,,,,,,,,,,,,,,,,,,,
ABDOMINAL OBESITY-METABOLIC SYNDROME,Abdominal obesity metabolic syndrome,C18.452.394.968.500.570,C18.452.625,,,,,,,,,,,,,,,,,,,,AOMS1 not included,*Metabolic Syndrome X
"INCLUSION BODY MYOPATHY 3, AUTOSOMAL DOMINANT","Inclusion Body Myopathy 3, Autosomal Dominant",C05.651.594.600,C10.668.491.562.500,C05.550.323,C05.651.197,C10.292.562.750,C10.597.622.447,C11.590.472,C23.888.592.636.447,,,,,,,,,,,,,,mutation in MYHC2A,"Myositis, Inclusion Body/*congenital;*Contracture;*Ophthalmoplegia"
LATE-ONSET RETINAL DEGENERATION,Late-Onset Retinal Degeneration,C11.768.585,,,,,,,,,,,,,,,,,,,,,,*Retinal Degeneration
MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME,Multiple Mitochondrial Dysfunctions Syndrome,C18.452.660,,,,,,,,,,,,,,,,,,,,,"severe autosomal recessive disorder of systemic energy metabolism, resulting in weakness, respiratory failure, lack of neurologic development, lactic acidosis, and early death",*Mitochondrial Diseases
"MYASTHENIA, FAMILIAL INFANTILE, 1","Myasthenia, Familial Infantile, 1",C10.668.758.800,C16.320.590,,,,,,,,,,,,,,,,,,,,,"*Myasthenic Syndromes, Congenital"
NONAKA MYOPATHY,"Distal myopathy, Nonaka type",C05.651.534.500.074,C10.668.491.175.500.074,C16.320.577.074,,,,,,,,,,,,,,,,,,,"A hereditary autosomal recessive muscular disorder with early adult onset that is characterized by weakness of the anterior compartment of the lower limbs, however the quadriceps muscles are spared. Numerous rimmed VACUOLES are present in muscle biopsy, but there appear to be no inflammatory cells. Mutations in the GNE gene have been identified; inclusion body myopathy 2 (OMIM: 600737) is an allelic disorder. OMIM: 605820",*Distal Myopathies
"SPONDYLOOCULAR SYNDROME, AUTOSOMAL RECESSIVE","Spondyloocular Syndrome, Autosomal Recessive",C11.768.648,C11.510.245,C05.116.099.708,C16.320.728,C11.270,C16.320.290,C05.660.207,C16.131.621.207,,,,,,,,,,,,,,,"*Retinal Detachment;*Cataract;*Osteochondrodysplasias;*Eye Diseases, Hereditary;*Craniofacial Abnormalities"
DIMETHYLGLYCINE DEHYDROGENASE DEFICIENCY,Dimethylglycine Dehydrogenase Deficiency,C16.320.565.100,C18.452.648.100,,,,,,,,,,,,,,,,,,,,mutation in DMGDH,"*Amino Acid Metabolism, Inborn Errors"
"PARKINSON DISEASE 6, AUTOSOMAL RECESSIVE EARLY-ONSET","Parkinson Disease 6, Autosomal Recessive Early-Onset",C10.228.140.079.862.500,C10.228.662.600.400,C10.574.812,,,,,,,,,,,,,,,,,,,aka PARK6; associated with collaborative mutations in PINK1 and DJ1,*Parkinson Disease
3-@HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE 2 DEFICIENCY,,,,,,,,,,,,,,,,,,,,,,,,
TRANSALDOLASE DEFICIENCY,Transaldolase Deficiency,C16.320.565.202,C18.452.648.202,D08.811.913.200.650,,,,,,,,,,,,,,,,,,,mutation in TALDO1,"*Carbohydrate Metabolism, Inborn Errors;Transaldolase/*deficiency"
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIb","Congenital Disorder Of Glycosylation, Type IIB",C16.320.565.202.125,C18.452.648.202.125,,,,,,,,,,,,,,,,,,,,mutation in GCS1,*Congenital Disorders of Glycosylation
RETINITIS PIGMENTOSA 28,,,,,,,,,,,,,,,,,,,,,,,,
RIPPLING MUSCLE DISEASE,"Rippling muscle disease, 1",C05.651,C10.668.491,,,,,,,,,,,,,,,,,,,,,*Muscular Diseases
NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 3,Neuroferritinopathy,C18.452.565,C10.228.140.744,,,,,,,,,,,,,,,,,,,,"Neurodegeneration with brain iron accumulation is a genetically heterogeneous disorder characterized by progressive iron accumulation in the BASAL GANGLIA and other brain regions, resulting in movements similar to those observed in PARKINSONISM and DYSTONIA. Age at onset, cognitive involvement, and mode of inheritance are variable. NBIA3 is autosomal dominant with age of onset from 13 to 63 years of age and is caused by mutations in the FTL gene. OMIM: 606159",*Iron Metabolism Disorders;*Neuroaxonal Dystrophies
DIAMOND-BLACKFAN ANEMIA WITH MICROTIA AND CLEFT PALATE,Diamond-Blackfan Anemia With Microtia And Cleft Palate,C09.218.235,C16.131.287,C05.500.460.185,C05.660.207.540.460.185,C07.320.440.185,C07.465.525.185,C07.650.500.460.185,C07.650.525.185,C16.131.621.207.540.460.185,C16.131.850.500.460.185,C16.131.850.525.185,C15.378.071.085.080.090,C15.378.071.750.500,C15.378.190.196.080.090,C16.320.077.090,,,,,,,,"*Congenital Microtia;*Cleft Palate;*Anemia, Diamond-Blackfan"
GENITOPATELLAR SYNDROME,Genitopatellar Syndrome,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,A05.360.444.661,A05.810.453,C10.597.606.881,C23.888.592.604.882,F01.700.875,C12.706,C13.351.875,C16.131.939,A02.835.232.043.650.624,C05.660.207,C16.131.621.207,,,,,,,,*Intellectual Disability;Scrotum/*abnormalities;Kidney/*abnormalities;*Psychomotor Disorders;*Urogenital Abnormalities;Patella/*abnormalities;*Craniofacial Abnormalities
"ATRIOVENTRICULAR SEPTAL DEFECT, SUSCEPTIBILITY TO, 2",,,,,,,,,,,,,,,,,,,,,,,,
PHELAN-MCDERMID SYNDROME,Telomeric 22q13 Monosomy Syndrome,C16.131.260,C16.320.180,C23.550.210.050.500.500,G05.355.600.800.180,G05.365.590.029.530.175,G05.365.590.175.050.500.500,G05.365.590.762.180,G05.700.131.500.500,A11.284.187.520.300.505.515,G05.360.162.520.300.505.515,,,,,,,,,,,,"A developmental disorder caused by heterozygous deletion of the portion of chromosome 22 that includes the SHANK3 gene, or by mutations in SHANK3. It is characterized by neonatal HYPOTONIA, normal to accelerated growth, LANGUAGE DEVELOPMENT DISORDERS, autistic behavior, and minor dysmorphic features. OMIM: 606232.","*Chromosome Disorders;*Chromosome Deletion;Chromosomes, Human, Pair 22"
"PARKINSON DISEASE 7, AUTOSOMAL RECESSIVE EARLY-ONSET","Parkinson Disease 7, Autosomal Recessive Early-Onset",C10.228.140.079.862.500,C10.228.662.600.400,C10.574.812,,,,,,,,,,,,,,,,,,,aka PARK7; associated with mutation of DJ1,*Parkinson Disease
"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4","Maturity-Onset Diabetes of the Young, Type 4",C18.452.394.750.149,C19.246.300,,,,,,,,,,,,,,,,,,,,mutation in PDX1 gene,"*Diabetes Mellitus, Type 2"
"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6","MODY, Type 6",C18.452.394.750.149,C19.246.300,,,,,,,,,,,,,,,,,,,,,"*Diabetes Mellitus, Type 2"
EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY,Ehlers-Danlos syndrome caused by tenascin-X deficiency,C14.907.454.240,C15.378.463.515.240,C16.131.831.428,C16.320.850.260,C17.300.200.310,C17.800.804.428,C17.800.827.260,,,,,,,,,,,,,,,,*Ehlers-Danlos Syndrome
HUNTINGTON DISEASE-LIKE 2,Huntington Disease-Like 2,C10.228.140.380,F03.615.400,C10.574.500,C16.320.400,C10.228.662.262.249,C10.597.350.250,C23.888.592.350.250,F03.615.250,,,,,,,,,,,,,,,"*Dementia;*Heredodegenerative Disorders, Nervous System;*Chorea;*Cognition Disorders"
PERSISTENT POLYCLONAL B-CELL LYMPHOCYTOSIS,Persistent Polyclonal B-Cell Lymphocytosis,C15.378.553.475.604,,,,,,,,,,,,,,,,,,,,,,*Lymphocytosis
VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1,,,,,,,,,,,,,,,,,,,,,,,,
LIG4 SYNDROME,LIG4 Syndrome,C23.550.393,C20.673,C05.660.207,C16.131.621.207,,,,,,,,,,,,,,,,,,mutation in LIG4,*Growth Disorders;*Immunologic Deficiency Syndromes;*Craniofacial Abnormalities
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH OR WITHOUT MENTAL RETARDATION), TYPE B, 5",,,,,,,,,,,,,,,,,,,,,,,,
GLYCINE N-METHYLTRANSFERASE DEFICIENCY,Hypermethioninemia,C16.320.565.100,C18.452.648.100,D08.811.913.555.500.387,,,,,,,,,,,,,,,,,,,"mutation in GNMT, MAT1A, AHCY","*Amino Acid Metabolism, Inborn Errors;Glycine N-Methyltransferase/*deficiency"
SPONGIFORM ENCEPHALOPATHY WITH NEUROPSYCHIATRIC FEATURES,Spongiform Encephalopathy with Neuropsychiatric Features,C10.228.228.800,C10.574.843,F03,C10.574.500,C16.320.400,,,,,,,,,,,,,,,,,mutations in PRNP,"*Prion Diseases;Mental Disorders;*Heredodegenerative Disorders, Nervous System"
KUFOR-RAKEB SYNDROME,Kufor-Rakeb syndrome,C10.228.140.079.862,C10.228.662.600,,,,,,,,,,,,,,,,,,,,"A rare autosomal recessive form of juvenile-onset atypical Parkinson disease (PARK9) associated with supranuclear gaze palsy, SPASTICITY, and DEMENTIA. Some patients have neuroradiologic evidence of iron deposition in the BASAL GANGLIA. Mutations in the ATP13A2 gene have been identified. OMIM: 606693",*Parkinsonian Disorders
VAN DER WOUDE SYNDROME 2,Van der Woude syndrome 2,C07.465.409.225,C07.465.525.164,C07.650.525.164,C16.131.850.525.164,C05.500.460.185,C05.660.207.540.460.185,C07.320.440.185,C07.465.525.185,C07.650.500.460.185,C07.650.525.185,C16.131.621.207.540.460.185,C16.131.850.500.460.185,C16.131.850.525.185,C16.131.077,,,,,,,,,"*Cleft Lip;*Cleft Palate;*Abnormalities, Multiple"
MELANOMA-PANCREATIC CANCER SYNDROME,Melanoma-Pancreatic Cancer Syndrome,C04.588.274.761,C04.588.322.475,C06.301.761,C06.689.667,C19.344.421,C04.700,C16.320.700,C04.557.465.625.650.510,C04.557.580.625.650.510,C04.557.665.510,,,,,,,,,,,,,"*Pancreatic Neoplasms;*Neoplastic Syndromes, Hereditary;*Melanoma"
LIPODYSTROPHY WITH CONGENITAL CATARACTS AND NEURODEGENERATION,Lipodystrophy with Congenital Cataracts and Neurodegeneration,C11.510.245,C17.800.849.391.700,C18.452.584.625.700,C18.452.880.391.700,C10.574.500,C16.320.400,,,,,,,,,,,,,,,,,"Cataract/*congenital;*Lipodystrophy, Familial Partial;*Heredodegenerative Disorders, Nervous System"
SECKEL SYNDROME 2,Seckel syndrome 2,C05.660.207.620,C10.500.507.400.500,C16.131.621.207.620,C16.131.666.507.400.500,C05.116.099.343,C16.320.240,C19.297,,,,,,,,,,,,,,,,*Microcephaly;*Dwarfism
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 6","Hyperinsulinemic hypoglycemia, familial, 6",C18.452.394.984,C18.452.394.968,,,,,,,,,,,,,,,,,,,,,*Hypoglycemia;*Hyperinsulinism
FUMARASE DEFICIENCY,Fumaric aciduria,D08.811.520.241.300.300,C16.320.565,C18.452.648,C10.597.606.881,C23.888.592.604.882,F01.700.875,C10.597.613.575,C23.888.592.608.575,,,,,,,,,,,,,,,"Fumarate Hydratase/*deficiency;*Metabolism, Inborn Errors;*Psychomotor Disorders;*Muscle Hypotonia"
GLUCOSE/GALACTOSE MALABSORPTION,,,,,,,,,,,,,,,,,,,,,,,,
"DIGITAL ARTHROPATHY-BRACHYDACTYLY, FAMILIAL","Digital Arthropathy-Brachydactyly, Familial",C05.550.114.606,C05.799.613,C05.660.585.262,C16.131.621.585.262,A02.835.583.378,A02.835.583.405,,,,,,,,,,,,,,,,,*Osteoarthritis;*Brachydactyly;Foot Joints/*abnormalities;Hand Joints/*abnormalities
"IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 3",Hyper-IgM Immunodeficiency Syndrome,C15.378.147.333.249,C16.320.413,C20.673.430.249,,,,,,,,,,,,,,,,,,,"A rare inherited immunodeficiency syndrome characterized by normal or elevated serum 
IMMUNOGLOBULIN M levels with absence of 
IMMUNOGLOBULIN G; 
IMMUNOGLOBULIN A; and 
IMMUNOGLOBULIN E. It results in a profound susceptibility to 
BACTERIAL INFECTIONS and an increased susceptibility to 
OPPORTUNISTIC INFECTIONS. Several subtypes of hyper-IgM immunodeficiency syndrome exist depending upon the location of genetic mutation.;2007",
PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA,Carney-Stratakis Syndrome,C04.557.465.625.650.700,C04.557.580.625.650.700,C04.557.450.565.370,C06.301.371.308,C06.405.249.308,,,,,,,,,,,,,,,,,,*Paraganglioma;*Gastrointestinal Stromal Tumors
ALZHEIMER DISEASE 4,Alzheimer disease type 4,C10.228.140.380.100,C10.574.945.249,F03.615.400.100,,,,,,,,,,,,,,,,,,,,*Alzheimer Disease
NEPHRONOPHTHISIS 4,Nephronophthisis 4,C12.777.419.403,C13.351.968.419.403,,,,,,,,,,,,,,,,,,,,mutation in NPHP4,"*Kidney Diseases, Cystic"
SENIOR-LOKEN SYNDROME 4,Senior-Loken syndrome 4,C11.270.684,C11.768.585.658.500,C16.320.290.684,C12.777.419.403,C13.351.968.419.403,,,,,,,,,,,,,,,,,,"*Retinitis Pigmentosa;*Kidney Diseases, Cystic"
"PARKINSON DISEASE 8, AUTOSOMAL DOMINANT",,,,,,,,,,,,,,,,,,,,,,,,
"EPIPHYSEAL DYSPLASIA, MULTIPLE, 5","Epiphyseal dysplasia, multiple, 5",C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias
"46,XY GONADAL DYSGENESIS, PARTIAL, WITH MINIFASCICULAR NEUROPATHY","46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy",D12.644.276.671,D12.776.467.671,D23.529.671,C10.668.829.800,C12.706.316.096.687,C12.706.316.309.388,C13.351.875.253.096.687,C13.351.875.253.309.388,C16.131.939.316.096.687,C16.131.939.316.309.388,C19.391.119.096.687,C19.391.119.309.388,,,,,,,,,,mutations in DHH,"Hedgehog Proteins/*deficiency;*Polyneuropathies;*Gonadal Dysgenesis, 46,XY"
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IId",,,,,,,,,,,,,,,,,,,,,,,,
ANAUXETIC DYSPLASIA,Anauxetic dysplasia,C05.116.099.708,C16.320.728,C05.116.099.343,C16.320.240,C19.297,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias;*Dwarfism
NASOPHARYNGEAL CARCINOMA,Nasopharyngeal carcinoma,C04.588.443.665.710.650,C07.550.350.650,C07.550.745.650,C09.647.710.650,C09.775.350.650,C09.775.549.650,,,,,,,,,,,,,,,,"A carcinoma that originates in the nasopharyngeal EPITHELIUM and includes 4 subtypes: keratinizing squamous cell, nonkeratinizing, basaloid squamous cell, and PAPILLARY ADENOCARCINOMA. It is most prevalent in Southeast Asian populations and is associated with EPSTEIN-BARR VIRUS INFECTIONS. Somatic mutations have been identified in NPCR, BAP1, UBAP1, ERBB2, ERBB3, MLL2, PIK3CA, KRAS, NRAS, and ARID1A genes. OMIM: 607107",*Nasopharyngeal Neoplasms
MACROCEPHALY WITH MULTIPLE EPIPHYSEAL DYSPLASIA AND DISTINCTIVE FACIES,Macrocephaly with Multiple Epiphyseal Dysplasia and Distinctive Facies,C05.660.207.536,C10.500.507.400.249,C16.131.621.207.532,C16.131.666.507.400.249,C05.116.099.708,C16.320.728,C23.550.291.812,E01.370.600.230,,,,,,,,,,,,,,,*Megalencephaly;*Osteochondrodysplasias;*Facies
SPINOCEREBELLAR ATAXIA 17,Spinocerebellar Ataxia 17,C10.228.140.252.190.530,C10.228.140.252.700.700,C10.228.854.787.875,C10.574.500.825.700,C10.597.350.090.500.530,C16.320.400.780.875,,,,,,,,,,,,,,,,,*Spinocerebellar Ataxias
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ig",Congenital disorder of glycosylation type 1G,C16.320.565.202.125,C18.452.648.202.125,,,,,,,,,,,,,,,,,,,,,*Congenital Disorders of Glycosylation
"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 5",,,,,,,,,,,,,,,,,,,,,,,,
"THYROID HORMONOGENESIS, GENETIC DEFECT IN, 6",Thyroid Dyshormonogenesis 6,C05.116.099.343.347,C05.116.132.256,C16.320.240.625,C19.297.155,C19.874.482.281,,,,,,,,,,,,,,,,,mutation in DUOX2,*Congenital Hypothyroidism
"SPASTIC PARALYSIS, INFANTILE-ONSET ASCENDING","Hereditary spastic paralysis, infantile onset ascending",C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,,,,"*Spastic Paraplegia, Hereditary"
"SPASTIC PARAPLEGIA 7, AUTOSOMAL RECESSIVE","Spastic Paraplegia 7, Autosomal Recessive",C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,,,"mutation in the paraplegin gene, SPG7","*Spastic Paraplegia, Hereditary"
"GAZE PALSY, FAMILIAL HORIZONTAL, WITH PROGRESSIVE SCOLIOSIS","Gaze Palsy, Familial Horizontal, with Progressive Scoliosis",C05.651.460.700,C10.292.562.750.250,C10.597.622.447.511,C10.668.491.500.700,C11.590.472.250,C18.452.660.560.700,C23.888.592.636.447.511,C05.116.900.800.875,,,,,,,,,,,,,,mutation in ROBO3,"*Ophthalmoplegia, Chronic Progressive External;*Scoliosis"
SMITH-MCCORT DYSPLASIA 1,,,,,,,,,,,,,,,,,,,,,,,,
LATHOSTEROLOSIS,Lathosterolosis,C16.320.565.925,C18.452.648.925,D08.811.682.660,,,,,,,,,,,,,,,,,,,,"*Steroid Metabolism, Inborn Errors;Oxidoreductases Acting on CH-CH Group Donors/*deficiency"
FOCAL CORTICAL DYSPLASIA OF TAYLOR,Focal cortical dysplasia of Taylor,C10.228.140.490,C10.500.507.400,C16.131.666.507.400,,,,,,,,,,,,,,,,,,,A cerebral developmental malformation that results in intractable EPILEPSY usually requiring surgery. FCDT is classified histologically into 2 subtypes: a type without balloon cells (Type IIA); and a type with balloon cells (Type IIB). Germline mutations in the TSC1 gene have been identified. OMIM: 607341,"*Epilepsy;*Malformations of Cortical Development, Group I"
SPINOCEREBELLAR ATAXIA 19,Spinocerebellar ataxia 19,C10.228.140.252.700,C10.228.854.787,C10.574.500.825,C16.320.400.780,,,,,,,,,,,,,,,,,,,*Spinocerebellar Degenerations
"MECKEL SYNDROME, TYPE 3",Meckel syndrome type 3,C08.200,C09.150,C10.500.680.488,C16.131.666.680.488,C23.300.707.186,C12.777.419.403.875,C13.351.968.419.403.875,,,,,,,,,,,,,,,,*Ciliary Motility Disorders;*Encephalocele;*Polycystic Kidney Diseases
GLUCOCORTICOID DEFICIENCY 2,Glucocorticoid Deficiency 2,C19.053.500,,,,,,,,,,,,,,,,,,,,,,*Adrenal Insufficiency
COENZYME Q10 DEFICIENCY,Coenzyme Q10 Deficiency,C18.452.660,C05.651.515,C10.597.613.593,C23.550.695,C23.888.592.608.593,D02.806.250.900,D08.211.935,C10.597.350.090,C23.888.592.350.090,,,,,,,,,,,,,"A rare, clinically heterogeneous autosomal recessive disorder caused by mutation in any of the genes encoding proteins directly involved in the synthesis of coenzyme Q (UBIQUINONE). There are five major phenotypes: an encephalomyopathic form with SEIZURES and ATAXIA ; a multisystem infantile form with encephalopathy, CARDIOMYOPATHY and RENAL FAILURE; a predominantly cerebellar form with ataxia and cerebellar atrophy; LEIGH SYNDROME with growth retardation; and an isolated myopathic form. The molecular disease mechanism remains unknown, but mutations in a number of genes have been identified, OMIM: 607426",*Mitochondrial Diseases;*Muscle Weakness;Ubiquinone/*deficiency;*Ataxia
SPINOCEREBELLAR ATAXIA 21,Spinocerebellar ataxia 21,C10.228.140.252.700,C10.228.854.787,C10.574.500.825,C16.320.400.780,,,,,,,,,,,,,,,,,,,*Spinocerebellar Degenerations
"SENSORY ATAXIC NEUROPATHY, DYSARTHRIA, AND OPHTHALMOPARESIS","Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis",C10.292.562.750,C10.597.622.447,C11.590.472,C23.888.592.636.447,C10.500.300,C10.574.500.495,C10.668.829.800.300,C16.131.666.300,C16.320.400.375,C10.597.606.150.500.800.150.200,C23.888.592.604.150.500.800.150.200,,,,,,,,,,,,*Ophthalmoplegia;*Hereditary Sensory and Motor Neuropathy;*Dysarthria
"VITAMIN K-DEPENDENT CLOTTING FACTORS, COMBINED DEFICIENCY OF, 2",,,,,,,,,,,,,,,,,,,,,,,,
BOTHNIA RETINAL DYSTROPHY,Bothnia Retinal Dystrophy,C11.768,C11.270,C16.320.290,,,,,,,,,,,,,,,,,,,mutation in RLBP1,"*Retinal Diseases;*Eye Diseases, Hereditary"
NEWFOUNDLAND ROD-CONE DYSTROPHY,Newfoundland Rod-Cone Dystrophy,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,"RLBP1 protein, human mutation",*Retinitis Pigmentosa
THIAMINE METABOLISM DYSFUNCTION SYNDROME 2 (BIOTIN- OR THIAMINE-RESPONSIVE TYPE),,,,,,,,,,,,,,,,,,,,,,,,
"FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, GRN-RELATED",,,,,,,,,,,,,,,,,,,,,,,,
